Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,0,0
3,6,0,1,12,0,-1
3,5,0,1,11,0,-1
0,5,1,1,9,0,-1
0,5,2,1,8,0,-1
0,5,3,1,7,1,-1
0,5,4,1,6,2,-1
3,4,4,1,5,3,-1
3,3,4,1,3,3,-1
3,2,4,1,4,3,-1
3,1,4,1,2,3,-1
0,1,5,1,1,4,-1
0,1,6,1,0,4,-1
1,2,6,1,1,4,-1
1,3,6,1,2,3,-1
1,4,6,1,3,4,-1
1,5,6,1,2,4,-1
0,5,7,1,3,4,-1
0,5,8,1,3,5,-1
1,6,8,1,4,6,-1
1,7,8,1,5,6,-1
3,6,8,1,6,7,-1
0,6,9,1,6,8,-1
3,5,9,1,5,8,-1
0,5,10,1,5,9,-1
0,5,11,1,5,11,-101
0,5,11,1,5,11,-101
